Year,Age,Ethnic,Sex,Area,count
2013,0-4 years,European,Male,Auckland Region,28017
2013,0-4 years,European,Female,Auckland Region,26541
2013,0-4 years,European,Total people - sex,Auckland Region,54558
2013,0-4 years,Maori,Male,Auckland Region,9051
2013,0-4 years,Maori,Female,Auckland Region,8481
2013,0-4 years,Maori,Total people - sex,Auckland Region,17535
2013,0-4 years,Pacific Peoples,Male,Auckland Region,12351
2013,0-4 years,Pacific Peoples,Female,Auckland Region,11628
2013,0-4 years,Pacific Peoples,Total people - sex,Auckland Region,23979
2013,0-4 years,Asian,Male,Auckland Region,11409
2013,0-4 years,Asian,Female,Auckland Region,10890
2013,0-4 years,Asian,Total people - sex,Auckland Region,22299
2013,0-4 years,Middle Eastern/Latin American/African,Male,Auckland Region,1185
2013,0-4 years,Middle Eastern/Latin American/African,Female,Auckland Region,1161
2013,0-4 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,2343
2013,0-4 years,Other ethnicity,Male,Auckland Region,636
2013,0-4 years,Other ethnicity,Female,Auckland Region,576
2013,0-4 years,Other ethnicity,Total people - sex,Auckland Region,1215
2013,0-4 years,Not elsewhere included,Male,Auckland Region,2856
2013,0-4 years,Not elsewhere included,Female,Auckland Region,3018
2013,0-4 years,Not elsewhere included,Total people - sex,Auckland Region,5877
2013,0-4 years,Total people,Male,Auckland Region,52452
2013,0-4 years,Total people,Female,Auckland Region,49908
2013,0-4 years,Total people,Total people - sex,Auckland Region,102357
2013,5-9 years,European,Male,Auckland Region,26937
2013,5-9 years,European,Female,Auckland Region,25719
2013,5-9 years,European,Total people - sex,Auckland Region,52653
2013,5-9 years,Maori,Male,Auckland Region,8142
2013,5-9 years,Maori,Female,Auckland Region,7731
2013,5-9 years,Maori,Total people - sex,Auckland Region,15873
2013,5-9 years,Pacific Peoples,Male,Auckland Region,11397
2013,5-9 years,Pacific Peoples,Female,Auckland Region,10848
2013,5-9 years,Pacific Peoples,Total people - sex,Auckland Region,22248
2013,5-9 years,Asian,Male,Auckland Region,9954
2013,5-9 years,Asian,Female,Auckland Region,9330
2013,5-9 years,Asian,Total people - sex,Auckland Region,19284
2013,5-9 years,Middle Eastern/Latin American/African,Male,Auckland Region,1008
2013,5-9 years,Middle Eastern/Latin American/African,Female,Auckland Region,972
2013,5-9 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,1977
2013,5-9 years,Other ethnicity,Male,Auckland Region,579
2013,5-9 years,Other ethnicity,Female,Auckland Region,579
2013,5-9 years,Other ethnicity,Total people - sex,Auckland Region,1155
2013,5-9 years,Not elsewhere included,Male,Auckland Region,2646
2013,5-9 years,Not elsewhere included,Female,Auckland Region,2703
2013,5-9 years,Not elsewhere included,Total people - sex,Auckland Region,5349
2013,5-9 years,Total people,Male,Auckland Region,49935
2013,5-9 years,Total people,Female,Auckland Region,47655
2013,5-9 years,Total people,Total people - sex,Auckland Region,97593
2013,10-14 years,European,Male,Auckland Region,26082
2013,10-14 years,European,Female,Auckland Region,24501
2013,10-14 years,European,Total people - sex,Auckland Region,50586
2013,10-14 years,Maori,Male,Auckland Region,7509
2013,10-14 years,Maori,Female,Auckland Region,7116
2013,10-14 years,Maori,Total people - sex,Auckland Region,14625
2013,10-14 years,Pacific Peoples,Male,Auckland Region,10905
